,업무,공고번호-차수,분류,공고명,URL주소,공고기관,수요기관,계약방법,입력일시,공동수급,투찰여부
1,용역,20190349331-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190349331&bidseq=00&releaseYn=Y&taskClCd=1 ,나눔「휴」캠프 통합 운영 대행 용역,조달청 서울지방조달청,사회복지법인 한국사회복지협의회,일반(총액)협상에의한계약,2019/03/29 14:37(2019/04/09 10:00),마감,마감
2,용역,20190349712-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190349712&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 매직프로그램 1학년 My 비전캠프 위탁 교육,충청남도교육청 천안여자상업고등학교,충청남도교육청 천안여자상업고등학교,일반(총액)규격가격동시,2019/03/29 14:11(2019/04/05 17:00),,마감
3,공사,2019LHN00052019-03362-01,일반,https://www.g2b.go.kr:8101/ep/tbid/facilBidDtl.do?tbidno=20190352657&bidseq=01,전체지원비(힐링캠프 시설보수 공사(전기)),육군 제2621부대,제2621부대,수의계약(기타),2019/03/29 09:00(2019/04/04 10:00),,육군 제2621부대 이동
4,공사,2019LHN00042019-03344-01,일반,https://www.g2b.go.kr:8101/ep/tbid/facilBidDtl.do?tbidno=20190352656&bidseq=01,전체지원비(힐링캠프 시설보수 공사(본)),육군 제2621부대,제2621부대,수의계약(기타),2019/03/29 09:00(2019/04/04 10:00),,육군 제2621부대 이동
5,용역,20190347924-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190347924&bidseq=00&releaseYn=Y&taskClCd=5 ,서울외고 2학년 리더십캠프 용역 업체 선정,서울특별시교육청 서울외국어고등학교,서울특별시교육청 서울외국어고등학교,제한(총액)2단계경쟁,2019/03/28 15:35(2019/04/04 12:00),,마감
6,용역,20190343312-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190343312&bidseq=00&releaseYn=Y&taskClCd=5 ,어린이 안전문화 체험캠프 운영 용역(재공고),충청북도 청주시,충청북도 청주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/26 15:44(2019/04/01 10:00),,마감
7,공사,20190342376-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190342376&bidseq=00&releaseYn=Y&taskClCd=3 ,캠프라과디아 내 도시계획도로(중로3-3호선 외 3개소) 개설사업,경기도 의정부시,경기도 의정부시,지역제한,2019/03/26 10:25(2019/04/03 10:00),,마감
8,용역,20190341515-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190341515&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 대지고등학교 1학년 진로캠프 위탁용역 입찰 공고,경기도교육청 대지고등학교,경기도교육청 대지고등학교,제한(총액)규격가격동시,2019/03/25 18:41(2019/04/09 12:00),,마감
9,용역,20190339203-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190339203&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 초중학생 국제교류  해외영어캠프 운영,충청남도교육청 충청남도청양교육지원청,충청남도교육청 충청남도청양교육지원청,일반(총액)규격가격동시,2019/03/25 09:25(2019/04/15 10:00),,마감
10,물품,2019LPK000307290-02,재입찰,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20190317969&bidseq=02,캠프님블 신축 관급자재 타일(사고이월),제8기동사단,제8기계화보병사단,제한(총액),2019/03/25 09:00(2019/04/02 10:00),,제8기동사단 이동
