,URL 주소,댓글작성자명,댓글작성일자,댓글내용
0,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@dingofreestyle,18시간 전(수정됨),"조광일 - 곡예사2 REMIX (Feat. MC 스나이퍼, 식보이, 해쉬스완, 마미손, 테이크원, 쿤타, 2faith)
모든 음원사이트에서 들을 수 있습니다

Melon : http://kko.to/ETxDoJpyvI
Genie :  www.genie.co.kr/UBSRW5 
FLO : https://www.music-flo.com/detail/album/414703715/albumtrack
Bugs : https://music.bugs.co.kr/album/20571851
VIBE : https://vibe.naver.com/album/9747004
Spotify : https://open.spotify.com/album/34AjGiZFVd1BKbCuKop7gA?si=VO2EoUZZRXmpcOMTGCNbIA"
1,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-fh6vo9nd4o,15시간 전,곡예사 리믹스마다 진짜 랩 곡예사들 다 모아주는 거 너무 좋다
2,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-tt2od8lr8s,16시간 전,사각형과 마름모 가사 지린다... 서로 안 맞는 타입이라고 서로 갈구고 물어 뜯고 싸우지만 결국 같은 모양이라는 내용같아서 개 멋있네
3,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@kkomisomi,14시간 전,곡예사1에서도  식보이 겁나 잘했었는데 2는 완전 접신했네 ㄷㄷㄷㄷㄷㄷㄷ
4,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-cq8gr9tz8g,14시간 전,스나이퍼 사운드에서 마지막 벌스를 담당했던 스나이퍼가 조광일 다음으로 가장 먼저 벌스를 한다는게 참 멋지다 ...
5,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-YJ90,16시간 전,와 피처링 MC스나이퍼에 테이크원까지.. ㄷㄷ 지렸다 조광일 흥해라~! 
6,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-lotto,14시간 전,조광일님 오래오래 앨범 마니마니 내주세요 ㅠㅠ 넘 멋지십니다 ㅠㅠ
7,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-pe6ln8kx4m,18시간 전,와 mc스나이퍼 파트때 신선한 충격받음.. 진짜 노련미는 무시하지 못하는 듯
8,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-yl6zs1bs5u,15시간 전,와...단체곡 빠지는사람 없이 소름돋는거 오랜만이네
9,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-mh3dl8jd2f,14시간 전,와 그동안 본 리믹스중에 최고다.. 근본들만 모아서 랩 하니까 ㅈㄴ좋네
10,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-sf6nx6xs4h,4시간 전(수정됨),진짜 엠시스나이퍼 식보이 해쉬 마미손으로가는 플로우미쳤다. 식보이 쇼미에서 매번 이상하게 떨어져서 아쉬웠는데 조광일씨가 곡예사 리믹스 1도그렇고 챙겨주시는거 같아서 보기좋아요. 이기힙합이다.
11,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-gw3uj1iq5m,13시간 전,멋있네요 조광일님. 깊게는 모르지만 본인 본명으로 활동하시는 래퍼님 분들 사실 더 간지가 나 보이네요!!  꾸준히 활동해주세요
12,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@user-em7cg3wq1z,11시간 전,한순간도 안지리는 부분이 없네... 곡예사 리믹스는 진짜 믿고 듣는듯...
13,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@antman8013,16시간 전,"쿤타형님.. 왜 쇼미에서 이런 스타일을 전혀 안보여주셨습니까 
진짜 개지립니다"
14,https://www.youtube.com/watch?v=SIcm_6vyGcM&pp=ygUK6rOh7JiI7IKsMg%3D%3D,@ohdongjun,13시간 전,"진짜 마미손 파트 가슴이 옹졸해진다.... 

또 똑같은 줄 알았지만 개 쩔게 변주줬던 조광일 파트, living legend 스나이퍼, 잘은 몰랐지만 존나 잘하는 식보이, 발음 톤 깡패인 해쉬스완으로 웅장해진 가슴을 바로 수축시켜준다....

정말 istp는 전설이다"
